hotel_id,recap_column,row,etape,sous_etape,data_label,field_key,field_type_hint,raw_value,feature_column
mercure-boulogne,BOULOGNE,17,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,PROPRIETAIRE,1_informations_generales_donnees_admin_proprietaire,categorical,GROUPE COVIVIO,d_recap_generales_donnees_admin_proprietaire
ibis-budget-nice,NICE,18,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DOM/DOF,1_informations_generales_donnees_admin_dom_dof,categorical,Marion BOROT,d_recap_generales_donnees_admin_dom_dof
ibis-budget-strasbourg,STRASBOURG,18,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DOM/DOF,1_informations_generales_donnees_admin_dom_dof,categorical,Christophe RUQUEBOEUCHE,d_recap_generales_donnees_admin_dom_dof
ibis-styles-roissy-cdg,PARIS CDG,18,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DOM/DOF,1_informations_generales_donnees_admin_dom_dof,categorical,Sophie CHOLLON,d_recap_generales_donnees_admin_dom_dof
novotel-megeve,MEGEVE,18,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DOM/DOF,1_informations_generales_donnees_admin_dom_dof,categorical,Bello DIALLO,d_recap_generales_donnees_admin_dom_dof
novotel-paris-tour-eiffel,TOUR EIFFEL,18,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DOM/DOF,1_informations_generales_donnees_admin_dom_dof,categorical,Philippe JAUSSELY,d_recap_generales_donnees_admin_dom_dof
mercure-montmartre,MONTMARTRE,18,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DOM/DOF,1_informations_generales_donnees_admin_dom_dof,categorical,Thibault FREMONT,d_recap_generales_donnees_admin_dom_dof
mercure-boulogne,BOULOGNE,18,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DOM/DOF,1_informations_generales_donnees_admin_dom_dof,categorical,Hubert VANQUATHEM,d_recap_generales_donnees_admin_dom_dof
ibis-budget-nice,NICE,19,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DERNIERE RENO HOTEL,1_informations_generales_donnees_admin_derniere_reno_hotel,categorical,,d_recap_generales_donnees_admin_derniere_reno_hotel
ibis-budget-strasbourg,STRASBOURG,19,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,DERNIERE RENO HOTEL,1_informations_generales_donnees_admin_derniere_reno_hotel,categorical,2025.0,d_recap_generales_donnees_admin_derniere_reno_hotel
