nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SALEE,0,18,156.0,15,5,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SALEE,1,7,46.5,7,4,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SUCREE,0,50,165.5,36,8,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SUCREE,1,17,65.5,14,6,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,SANS ALCOOL,0,142,446.5,106,11,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,SANS ALCOOL,1,59,198.0,43,10,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,0,11,42.5,10,4,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,1,1,2.5,1,1,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,0,27,82.0,22,9,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,1,14,41.0,9,6,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,0,111,354.5,85,10,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,1,49,131.5,39,9,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SALEE,0,17,61.0,15,4,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SALEE,1,24,102.5,18,3,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SUCREE,0,50,132.5,44,9,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SUCREE,1,37,103.0,30,9,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,SANS ALCOOL,0,225,959.5,151,11,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,SANS ALCOOL,1,127,350.5,100,11,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,0,36,207.5,23,3,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,1,11,63.0,7,4,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SUCREE,0,73,225.5,49,8,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SUCREE,1,23,84.0,14,8,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,SANS ALCOOL,0,190,641.0,143,11,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,SANS ALCOOL,1,77,254.5,49,11,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SALEE,0,30,153.0,26,4,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SALEE,1,11,52.5,8,3,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SUCREE,0,52,139.0,40,8,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SUCREE,1,28,83.5,21,6,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,SANS ALCOOL,0,263,806.5,190,11,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,SANS ALCOOL,1,162,534.0,106,11,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SALEE,0,9,37.5,9,2,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SALEE,1,8,42.5,5,3,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SUCREE,0,38,101.5,33,8,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SUCREE,1,9,29.0,7,4,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,SANS ALCOOL,0,91,268.5,80,11,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,SANS ALCOOL,1,52,160.0,44,7,HB6A3
