nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,6,4,10.100000000000001,2,3,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,8,6,16.6,5,4,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,9,4,8.600000000000001,3,2,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,10,5,12.3,3,4,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,11,6,14.8,6,4,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,12,7,15.700000000000001,7,3,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,13,16,38.1,11,7,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,14,6,15.200000000000001,3,3,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,15,13,28.700000000000003,5,5,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,16,11,26.0,6,6,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,17,13,31.900000000000002,10,10,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,18,12,27.700000000000003,8,3,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,19,11,28.3,7,5,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,20,16,38.5,9,10,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,21,17,42.300000000000004,7,8,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,22,16,39.400000000000006,13,7,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,23,26,59.7,17,9,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,10,1,6.5,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,11,2,20.0,2,2,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,12,5,34.0,4,5,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,13,3,22.0,3,3,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,14,1,11.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,15,1,6.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,16,2,12.0,2,2,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,17,2,21.0,2,2,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,18,1,11.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,19,3,45.0,3,2,H2075
Ibis budget Nice,2024,7,N_F_B,COSMETIQUE,11,1,10.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,COSMETIQUE,12,1,10.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,JEUX / ENFANTS,11,1,18.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,JEUX / ENFANTS,13,1,18.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,JEUX / ENFANTS,15,1,18.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,PAP,12,1,10.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,PAP,13,1,10.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,PAP,16,1,10.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,PAP,17,1,10.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,PAP,19,2,20.0,1,1,H2075
Ibis budget Nice,2024,7,N_F_B,SOS,11,1,8.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,0,4,9.0,2,3,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,1,1,2.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,4,2,7.0,2,2,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,5,2,5.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,6,1,2.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,13,1,2.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,14,1,2.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,17,4,15.5,2,2,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,18,1,2.5,1,1,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,0,39,95.4,24,9,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,1,31,75.4,21,10,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,2,24,53.400000000000006,14,4,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,3,16,37.300000000000004,11,6,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,4,22,47.1,10,5,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,5,4,10.7,2,3,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,6,13,31.1,7,6,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,7,2,6.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,8,2,4.9,2,2,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,9,2,4.4,2,1,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,10,3,6.6000000000000005,3,1,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,11,1,2.7,1,1,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,12,9,20.900000000000002,6,4,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,13,17,40.400000000000006,11,7,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,14,12,27.700000000000003,7,7,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,15,18,45.0,12,6,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,16,11,25.200000000000003,8,7,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,17,15,34.0,8,6,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,18,18,44.400000000000006,13,9,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,19,6,14.100000000000001,4,5,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,20,15,36.7,12,7,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,21,7,16.900000000000002,5,2,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,22,16,36.5,12,10,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,23,19,47.2,11,7,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,11,1,25.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,12,2,21.0,2,2,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,13,6,48.0,2,4,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,14,6,81.0,6,2,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,15,1,16.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,16,1,15.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,17,1,15.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,19,1,5.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,20,1,6.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,21,1,15.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,23,2,12.0,1,2,H2075
Ibis budget Nice,2024,8,N_F_B,COSMETIQUE,11,1,10.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,COSMETIQUE,12,1,9.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,COSMETIQUE,16,1,10.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,JEUX / ENFANTS,12,2,36.0,2,1,H2075
Ibis budget Nice,2024,8,N_F_B,JEUX / ENFANTS,13,1,18.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,PAP,12,1,10.0,1,1,H2075
Ibis budget Nice,2024,8,N_F_B,PAP,20,1,10.0,1,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,0,2,5.0,2,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,1,5,10.0,3,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,2,2,4.5,2,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,3,2,4.5,2,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,7,1,2.0,1,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,17,1,2.5,1,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,19,1,2.0,1,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,23,3,6.0,3,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,1,5,7.5,3,3,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,3,2,3.0,2,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,4,1,1.5,1,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,11,1,2.0,1,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,12,2,3.0,2,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,14,2,3.5,2,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,15,1,2.0,1,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,17,2,7.0,2,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,18,1,1.5,1,1,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,21,3,5.0,2,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,22,2,5.0,2,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,23,3,6.5,2,3,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,0,18,42.5,12,6,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,1,14,35.300000000000004,7,7,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,2,3,6.4,3,2,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,3,11,25.0,5,3,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,4,2,5.0,1,1,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,5,1,2.0,1,1,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,7,1,2.0,1,1,H2075
