nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits
Ibis budget Nice,2025,9,N_F_B,#REF!,0,26.0,349.0,25.0,11.0
Ibis budget Nice,2025,9,N_F_B,#REF!,1,6.0,75.0,6.0,3.0
Ibis budget Nice,2025,9,N_F_B,ACCESSOIRES,0,28.0,208.0,26.0,14.0
Ibis budget Nice,2025,9,N_F_B,ACCESSOIRES,1,4.0,24.0,4.0,3.0
Ibis budget Nice,2025,9,N_F_B,PAP,0,2.0,23.0,2.0,2.0
Ibis budget Nice,2025,10,F_B,FOOD SALEE,0,20.0,48.5,17.0,6.0
Ibis budget Nice,2025,10,F_B,FOOD SALEE,1,12.0,43.0,10.0,6.0
Ibis budget Nice,2025,10,F_B,SANS ALCOOL,0,191.0,454.20000000000005,125.0,18.0
Ibis budget Nice,2025,10,F_B,SANS ALCOOL,1,62.0,149.3,43.0,16.0
Ibis budget Nice,2025,10,N_F_B,#REF!,0,10.0,104.0,9.0,6.0
Ibis budget Nice,2025,10,N_F_B,#REF!,1,1.0,12.0,1.0,1.0
Ibis budget Nice,2025,10,N_F_B,ACCESSOIRES,0,15.0,120.0,12.0,10.0
Ibis budget Nice,2025,10,N_F_B,ACCESSOIRES,1,5.0,35.0,4.0,5.0
Ibis budget Nice,2025,10,N_F_B,PAP,0,3.0,30.0,3.0,2.0
Ibis budget Nice,2025,11,F_B,FOOD SALEE,0,12.0,31.0,9.0,6.0
Ibis budget Nice,2025,11,F_B,FOOD SALEE,1,5.0,15.0,5.0,5.0
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,0,96.0,224.9,68.0,18.0
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,1,77.0,178.20000000000002,50.0,16.0
Ibis budget Nice,2025,11,NAN,nan,1,3.0,6.0,2.0,1.0
Ibis budget Nice,2025,11,N_F_B,#REF!,1,7.0,84.0,7.0,3.0
Ibis budget Nice,2025,11,N_F_B,ACCESSOIRES,0,1.0,6.0,1.0,1.0
Ibis budget Nice,2025,11,N_F_B,ACCESSOIRES,1,1.0,6.0,1.0,1.0
Ibis budget Nice,2025,12,F_B,FOOD SALEE,0,6.0,16.0,5.0,4.0
Ibis budget Nice,2025,12,F_B,FOOD SALEE,1,2.0,6.0,2.0,2.0
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,0,94.0,225.10000000000002,58.0,14.0
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,1,35.0,86.80000000000001,24.0,12.0
Ibis budget Nice,2025,12,NAN,nan,0,15.0,52.0,14.0,3.0
Ibis budget Nice,2025,12,NAN,nan,1,3.0,6.0,3.0,1.0
Ibis budget Nice,2025,12,N_F_B,#REF!,0,3.0,32.0,3.0,2.0
Ibis budget Nice,2025,12,N_F_B,ACCESSOIRES,0,3.0,24.0,3.0,3.0
Ibis budget Nice,2025,12,N_F_B,PAP,0,1.0,16.0,1.0,1.0
Ibis budget Nice,2025,12,N_F_B,SOS,1,1.0,4.0,1.0,1.0
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SALEE,0,10.0,50.0,9.0,4.0
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SALEE,1,5.0,92.5,4.0,2.0
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SUCREE,0,26.0,75.5,21.0,6.0
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SUCREE,1,13.0,63.0,5.0,5.0
Ibis budget Strasbourg Centre République,2024,10,F_B,SANS ALCOOL,0,70.0,254.0,53.0,11.0
Ibis budget Strasbourg Centre République,2024,10,F_B,SANS ALCOOL,1,27.0,83.5,20.0,11.0
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,0,23.0,237.5,20.0,4.0
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,1,4.0,27.5,3.0,2.0
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,0,71.0,205.0,57.0,11.0
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,1,20.0,69.0,16.0,8.0
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,0,88.0,237.5,80.0,12.0
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,1,46.0,167.0,34.0,12.0
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,0,24.0,77.5,22.0,4.0
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,1,7.0,17.5,7.0,3.0
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,0,71.0,206.5,58.0,10.0
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,1,30.0,116.0,18.0,8.0
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,0,184.0,673.5,140.0,13.0
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,1,67.0,244.5,49.0,11.0
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,0,16.0,70.0,13.0,2.0
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,1,5.0,12.5,5.0,2.0
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,0,43.0,116.0,36.0,8.0
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,1,12.0,60.0,5.0,5.0
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,0,120.0,364.0,95.0,13.0
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,1,21.0,78.0,14.0,8.0
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SALEE,0,12.0,30.0,11.0,2.0
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SALEE,1,9.0,55.0,5.0,3.0
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SUCREE,0,31.0,85.0,17.0,8.0
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SUCREE,1,26.0,108.5,11.0,7.0
Ibis budget Strasbourg Centre République,2025,2,F_B,SANS ALCOOL,0,90.0,327.0,65.0,12.0
Ibis budget Strasbourg Centre République,2025,2,F_B,SANS ALCOOL,1,28.0,139.5,20.0,9.0
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SALEE,0,10.0,77.0,8.0,5.0
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SALEE,1,12.0,89.5,11.0,4.0
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SUCREE,0,64.0,215.5,42.0,10.0
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SUCREE,1,34.0,104.5,23.0,9.0
