nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,18,27.0,138.3,21.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,19,20.0,108.2,15.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,20,51.0,336.0,37.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,21,62.0,447.0,44.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,22,75.0,538.5,58.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,23,62.0,433.0,46.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,0,71.0,247.6,32.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,1,28.0,100.8,18.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,2,16.0,78.5,12.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,3,3.0,8.7,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,4,5.0,35.2,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,5,2.0,5.8,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,6,2.0,9.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,7,4.0,13.399999999999999,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,8,4.0,12.5,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,9,6.0,19.2,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,10,9.0,30.5,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,11,5.0,15.399999999999999,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,12,5.0,24.6,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,13,8.0,28.0,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,14,12.0,39.4,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,15,12.0,46.4,9.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,16,9.0,27.0,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,17,24.0,72.4,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,18,35.0,108.7,19.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,19,26.0,83.0,16.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,20,55.0,180.4,31.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,21,62.0,213.9,38.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,22,120.0,390.09999999999997,58.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SUCREE,23,87.0,278.8,47.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,0,168.0,605.8,88.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,1,76.0,275.3,49.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,2,44.0,153.4,19.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,3,9.0,35.0,6.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,4,5.0,18.400000000000002,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,5,8.0,33.0,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,6,8.0,28.4,6.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,7,18.0,72.0,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,SANS ALCOOL,8,12.0,43.7,10.0,0.0,H3546
