nom_hotel,annee,mois,categorie,sous_categorie,is_holiday,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SUCREE,0,67,231.0,50,9,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,SANS ALCOOL,0,201,644.5,149,11,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,0,11,42.5,10,4,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,1,1,2.5,1,1,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,0,37,112.5,27,9,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,1,4,10.5,4,3,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,0,133,382.5,105,10,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,1,27,103.5,19,9,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SALEE,0,41,163.5,33,4,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SUCREE,0,87,235.5,74,10,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,SANS ALCOOL,0,352,1310.0,251,11,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,0,45,260.5,29,4,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,1,2,10.0,1,1,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SUCREE,0,94,304.0,61,8,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SUCREE,1,2,5.5,2,2,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,SANS ALCOOL,0,251,834.5,183,11,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,SANS ALCOOL,1,16,61.0,9,6,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SALEE,0,39,195.5,32,4,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SALEE,1,2,10.0,2,1,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SUCREE,0,77,214.5,58,8,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SUCREE,1,3,8.0,3,3,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,SANS ALCOOL,0,395,1250.5,275,11,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,SANS ALCOOL,1,30,90.0,21,6,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SALEE,0,17,80.0,14,3,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SUCREE,0,47,130.5,40,8,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,SANS ALCOOL,0,143,428.5,124,11,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,FOOD SALEE,0,32,125.0,25,3,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,FOOD SUCREE,0,66,198.0,52,9,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,SANS ALCOOL,0,211,667.5,169,11,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SALEE,0,43,180.0,33,3,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SALEE,1,1,5.0,1,1,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SUCREE,0,89,271.5,63,8,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SUCREE,1,4,15.5,1,3,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,SANS ALCOOL,0,210,693.0,160,11,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,SANS ALCOOL,1,7,27.5,4,3,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SALEE,0,47,175.0,38,3,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SALEE,1,4,25.0,2,1,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SUCREE,0,143,407.0,101,8,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,SANS ALCOOL,0,423,1472.5,317,11,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,SANS ALCOOL,1,10,35.0,7,5,HB6A3
Mercure Paris Montmartre Sacré-Cœur,2024,1,N_F_B,COSMETIQUE,0,2,1.0,2,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,ALCOOL,0,46,435.0,37,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,FOOD SALEE,0,45,208.0,35,11,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,FOOD SUCREE,0,31,170.0,28,13,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,SANS ALCOOL,0,243,1791.5,177,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,N_F_B,COSMETIQUE,0,7,290.0,4,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,N_F_B,SOS,0,4,88.0,4,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,ALCOOL,0,71,584.0,57,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,FOOD SALEE,0,31,189.0,26,7,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,FOOD SUCREE,0,107,397.0,85,11,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,SANS ALCOOL,0,423,2765.0,320,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,COSMETIQUE,0,7,160.0,6,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,SOS,0,12,418.0,9,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,SOUVENIRS,0,2,44.0,2,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,ALCOOL,0,113,1054.0,87,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,FOOD SALEE,0,55,279.0,54,11,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,FOOD SUCREE,0,86,366.0,59,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,SANS ALCOOL,0,462,3003.0,352,11,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,SOUVENIRS,0,6,168.0,4,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,COSMETIQUE,0,13,341.0,10,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,SOS,0,9,236.0,7,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,SOUVENIRS,0,5,224.0,4,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,ALCOOL,0,90,941.0,62,4,H0373
